nom de la page ou du composant,data-testid,Élément,info complementaire,fichier concerné,implémenté
Page Login (`/login`),login-email-input,Champ email,input,src/pages/LoginPage.jsx,oui
Page Login (`/login`),login-password-input,Champ mot de passe,input,src/pages/LoginPage.jsx,oui
Page Login (`/login`),login-submit-button,Bouton connexion,button,src/pages/LoginPage.jsx,oui
Page Login (`/login`),login-error-message,Message d'erreur,div,src/pages/LoginPage.jsx,oui
Page Login (`/login`),login-signup-link,Lien vers inscription,link,src/pages/LoginPage.jsx,oui
Page Signup (`/signup`),signup-displayname-input,Champ nom d'affichage,input,SignupPage.jsx,oui
Page Signup (`/signup`),signup-email-input,Champ email,input,src/pages/SignupPage.jsx,oui
Page Signup (`/signup`),signup-password-input,Champ mot de passe,input,src/pages/SignupPage.jsx,oui
Page Signup (`/signup`),signup-confirm-password-input,Confirmation mot de passe,input,src/pages/SignupPage.jsx,oui
Page Signup (`/signup`),signup-submit-button,Bouton inscription,button,src/pages/SignupPage.jsx,oui
Page Signup (`/signup`),signup-error-message,Message d'erreur,div,src/pages/SignupPage.jsx,oui
Page Signup (`/signup`),signup-success-message,Message succès,div,src/pages/SignupPage.jsx,oui
Page Signup (`/signup`),signup-login-link,Lien vers connexion,link,src/pages/SignupPage.jsx,oui
Desktop (authentifié),header-projects-link,"Lien ""Mes Projets""","Connecté, non admin",src/components/layout/Header.jsx,oui
Desktop (authentifié),header-dashboard-link,"Lien ""Dashboard Créateur""","Connecté, non admin",src/components/layout/Header.jsx,oui
Desktop (authentifié),header-donor-dashboard-link,"Lien ""Dashboard Donateur""","Connecté, non admin",src/components/layout/Header.jsx,oui
Desktop (authentifié),header-admin-link,"Lien ""Dashboard Admin""",Admin uniquement,src/components/layout/Header.jsx,oui
Desktop (authentifié),header-user-info,Affichage avatar + nom,Connecté,src/components/layout/Header.jsx,oui
Desktop (authentifié),header-logout-button,Bouton déconnexion,Connecté,src/components/layout/Header.jsx,oui
Desktop (non authentifié),header-login-button,"Bouton ""Connexion""",,src/components/layout/Header.jsx,oui
Desktop (non authentifié),header-signup-button,"Bouton ""Inscription""",,src/components/layout/Header.jsx,oui
Mobile,header-mobile-menu-button,Bouton burger,,src/components/layout/Header.jsx,oui
Mobile,header-mobile-menu,Menu déplié,,src/components/layout/Header.jsx,oui
Mobile,header-mobile-dashboard-link,Lien Dashboard (mobile),,src/components/layout/Header.jsx,oui
Mobile,header-mobile-projects-link,Lien Mes Projets (mobile),,src/components/layout/Header.jsx,oui
Mobile,header-mobile-donor-dashboard-link,Lien Dashboard Donateur (mobile),,src/components/layout/Header.jsx,oui
Mobile,header-mobile-user-info,Info utilisateur (mobile),,src/components/layout/Header.jsx,oui
Mobile,header-mobile-login-button,Bouton connexion (mobile),,src/components/layout/Header.jsx,oui
Mobile,header-mobile-signup-button,Bouton inscription (mobile),,src/components/layout/Header.jsx,oui
Mobile,header-mobile-logout-button,Bouton déconnexion (mobile),,src/components/layout/Header.jsx,oui
Filtres,projects-page,Container page,,src/pages/public/ProjectsPage.jsx,oui
Filtres,projects-page-title,Titre principal,,src/pages/public/ProjectsPage.jsx,oui
Filtres,projects-page-subtitle,Sous-titre,,src/pages/public/ProjectsPage.jsx,oui
Filtres,projects-search-input,Champ recherche,,ProjectFilters.jsx,oui
Filtres,projects-status-filter,Select filtre statut,,ProjectFilters.jsx,oui
Filtres,projects-sort-filter,Select tri,,ProjectFilters.jsx,oui
Filtres,projects-page-creator-filter,Bandeau filtrage créateur,,src/pages/public/ProjectsPage.jsx,oui
Filtres,projects-page-clear-creator-filter,Bouton effacer filtre créateur,,src/pages/public/ProjectsPage.jsx,oui
Grille et cartes,projects-grid,Container grille,,ProjectGrid.jsx,oui
Grille et cartes,project-card,Carte projet (multiple),,src/components/projects/ProjectCard.jsx,oui
Grille et cartes,project-card-image,Image du projet,,src/components/projects/ProjectCard.jsx,oui
Grille et cartes,project-card-title,Titre,,src/components/projects/ProjectCard.jsx,oui
Grille et cartes,project-card-tagline,Tagline,,ProjectCard.jsx,oui
Grille et cartes,project-card-badge,Badge statut,,ProjectCard.jsx,oui
Grille et cartes,project-card-progress,Barre de progression,,src/components/projects/ProjectCard.jsx,oui
Grille et cartes,project-card-stats,"Statistiques (montant, donateurs)",,ProjectCard.jsx,oui
Grille et cartes,project-card-creator,Info créateur (avatar + nom),,ProjectCard.jsx,oui
Grille et cartes,project-card-link,Lien vers détail,,src/components/projects/ProjectCard.jsx,oui
Grille et cartes,projects-grid-empty,État vide,,ProjectGrid.jsx,oui
Grille et cartes,projects-grid-loading,État chargement,,ProjectGrid.jsx,oui
Grille et cartes,projects-grid-error,État erreur,,ProjectGrid.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-page,Container page,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-loading,État chargement,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-error,État erreur,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-back-button,Bouton retour,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-title,Titre projet,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-tagline,Tagline,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-image,Image principale,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-description,Section description,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-creator,"Section créateur (avatar, nom, bio)",,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-stats,Section statistiques,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-donations,Section donations récentes,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-share-button,Bouton partager,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-donate-button,Bouton faire un don,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-donation-modal,Modal de don,,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-login-button,Bouton connexion (si non connecté),,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-manage-button,Bouton gérer (si créateur),,src/pages/public/ProjectDetailPage.jsx,oui
3.4 Détail projet (`/projects/:id`),project-detail-view-donations-button,Bouton voir donations (si créateur),,src/pages/public/ProjectDetailPage.jsx,oui
"Création/Édition (`/projects/create`, `/projects/:id/edit`)",create-project-page,Container page création,,src/pages/creator/CreateProjectPage.jsx,oui
"Création/Édition (`/projects/create`, `/projects/:id/edit`)",edit-project-page,Container page édition,,src/pages/creator/EditProjectPage.jsx,oui
