Section,data-testid,Fichier,Statut,Notes
Login,login-email-input,src/pages/LoginPage.jsx,✅ Conforme,
Login,login-password-input,src/pages/LoginPage.jsx,✅ Conforme,
Login,login-submit-button,src/pages/LoginPage.jsx,✅ Conforme,
Login,login-error-message,src/pages/LoginPage.jsx,✅ Conforme,
Login,login-signup-link,src/pages/LoginPage.jsx,✅ Conforme,
Signup,signup-displayname-input,src/pages/SignupPage.jsx,✅ Conforme,Corrigé (était signup-display-name-input)
Signup,signup-email-input,src/pages/SignupPage.jsx,✅ Conforme,
Signup,signup-password-input,src/pages/SignupPage.jsx,✅ Conforme,
Signup,signup-confirm-password-input,src/pages/SignupPage.jsx,✅ Conforme,
Signup,signup-submit-button,src/pages/SignupPage.jsx,✅ Conforme,
Signup,signup-error-message,src/pages/SignupPage.jsx,✅ Conforme,
Signup,signup-success-message,src/pages/SignupPage.jsx,✅ Conforme,
Signup,signup-login-link,src/pages/SignupPage.jsx,✅ Conforme,
Galerie - Filtres,projects-page,src/pages/public/ProjectsPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Galerie - Filtres,projects-page-title,src/pages/public/ProjectsPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Galerie - Filtres,projects-page-subtitle,src/pages/public/ProjectsPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Galerie - Filtres,projects-search-input,src/components/projects/ProjectFilters.jsx,✅ Conforme,Corrigé (était search-input)
Galerie - Filtres,projects-status-filter,src/components/projects/ProjectFilters.jsx,✅ Conforme,Corrigé (était status-filter)
Galerie - Filtres,projects-sort-filter,src/components/projects/ProjectFilters.jsx,✅ Conforme,Corrigé (était sort-select)
Galerie - Filtres,projects-page-creator-filter,src/pages/public/ProjectsPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Galerie - Filtres,projects-page-clear-creator-filter,src/pages/public/ProjectsPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Galerie - Grille,projects-grid,src/components/projects/ProjectGrid.jsx,✅ Conforme,Corrigé (était project-grid)
Galerie - Grille,projects-grid-loading,src/components/projects/ProjectGrid.jsx,✅ Conforme,Corrigé (était project-grid-skeleton)
Galerie - Grille,projects-grid-error,src/components/projects/ProjectGrid.jsx,✅ Conforme,Corrigé (était project-grid-error)
Galerie - Grille,projects-grid-empty,src/components/projects/ProjectGrid.jsx,✅ Conforme,Corrigé (était project-grid-empty)
ProjectCard,project-card,src/components/projects/ProjectCard.jsx,✅ Conforme,
ProjectCard,project-card-image,src/components/projects/ProjectCard.jsx,✅ Conforme,
ProjectCard,project-card-title,src/components/projects/ProjectCard.jsx,✅ Conforme,
ProjectCard,project-card-tagline,src/components/projects/ProjectCard.jsx,✅ Conforme,Corrigé (était project-card-description)
ProjectCard,project-card-badge,src/components/projects/ProjectCard.jsx,✅ Conforme,Corrigé (était project-card-status-badge)
ProjectCard,project-card-progress,src/components/projects/ProjectCard.jsx,✅ Conforme,
ProjectCard,project-card-stats,src/components/projects/ProjectCard.jsx,✅ Conforme,Ajouté (wrapper)
ProjectCard,project-card-creator,src/components/projects/ProjectCard.jsx,✅ Conforme,Ajouté (wrapper)
ProjectCard,project-card-link,src/components/projects/ProjectCard.jsx,✅ Conforme,
Détail Projet,project-detail-page,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Détail Projet,project-detail-loading,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Détail Projet,project-detail-error,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Détail Projet,project-detail-back-button,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Détail Projet,project-detail-title,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Détail Projet,project-detail-tagline,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Détail Projet,project-detail-image,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Détail Projet,project-detail-description,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Détail Projet,project-detail-creator,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Détail Projet,project-detail-stats,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
Détail Projet,project-detail-donations,src/pages/public/ProjectDetailPage.jsx,⚠️ À vérifier,Non vérifié dans cette session
